"","id","raceId","raceName","geoid","fullState","state","cd","chamber","rating","openSeat","previousParty","uncontested","turnoutCount","specialElection","primaryDate","senateClass"
"19",37579,"H2020NH02","New Hampshire 2","3302","New Hampshire","NH","02","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"20",37681,"H2020TN04","Tennessee 4","4704","Tennessee","TN","04","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"21",37728,"H2020VA04","Virginia 4","5104","Virginia","VA","04","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"22",37655,"H2020PA05","Pennsylvania 5","4205","Pennsylvania","PA","05","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"23",37684,"H2020TN08","Tennessee 8","4708","Tennessee","TN","08","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"24",37755,"H2020WV02","West Virginia 2","5402","West Virginia","WV","02","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"25",37679,"H2020TN02","Tennessee 2","4702","Tennessee","TN","02","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"26",37359,"H2020CA11","California 11","0611","California","CA","11","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"27",37523,"H2020MD08","Maryland 8","2408","Maryland","MD","08","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"28",37785,"P2020MD","Maryland","24","Maryland","MD","","PRESIDENT","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"29",37658,"H2020PA08","Pennsylvania 8","4208","Pennsylvania","PA","08","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"30",37310,"S2020NJ02","New Jersey","34","New Jersey","NJ","","SENATE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"31",37734,"H2020VA11","Virginia 11","5111","Virginia","VA","11","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"32",37319,"S2020WV02","West Virginia","54","West Virginia","WV","","SENATE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"33",37686,"H2020TX01","Texas 1","4801","Texas","TX","01","HOUSE","LIKELY-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"34",37320,"S2020WY02","Wyoming","56","Wyoming","WY","","SENATE","SAFE-R",TRUE,NA,FALSE,NA,FALSE,NA,""
"35",37335,"H2020AL07","Alabama 7","0107","Alabama","AL","07","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"36",37333,"H2020AL05","Alabama 5","0105","Alabama","AL","05","HOUSE","SAFE-R",FALSE,NA,TRUE,NA,FALSE,NA,""
"37",37339,"H2020AR04","Arkansas 4","0504","Arkansas","AR","04","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"38",37336,"H2020AR01","Arkansas 1","0501","Arkansas","AR","01","HOUSE","SAFE-R",FALSE,NA,TRUE,NA,FALSE,NA,""
"39",37346,"H2020AZ07","Arizona 7","0407","Arizona","AZ","07","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"40",37349,"H2020CA01","California 1","0601","California","CA","01","HOUSE","LEAN-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"41",37352,"H2020CA04","California 4","0604","California","CA","04","HOUSE","LIKELY-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"42",37351,"H2020CA03","California 3","0603","California","CA","03","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"43",37353,"H2020CA05","California 5","0605","California","CA","05","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"44",37360,"H2020CA12","California 12","0612","California","CA","12","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"45",37361,"H2020CA13","California 13","0613","California","CA","13","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"46",37340,"H2020AZ01","Arizona 1","0401","Arizona","AZ","01","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"47",37369,"H2020CA21","California 21","0621","California","CA","21","HOUSE","LEAN-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"48",37362,"H2020CA14","California 14","0614","California","CA","14","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"49",37363,"H2020CA15","California 15","0615","California","CA","15","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"50",37366,"H2020CA18","California 18","0618","California","CA","18","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"51",37365,"H2020CA17","California 17","0617","California","CA","17","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"52",37368,"H2020CA20","California 20","0620","California","CA","20","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"53",37372,"H2020CA24","California 24","0624","California","CA","24","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"54",37374,"H2020CA26","California 26","0626","California","CA","26","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"55",37375,"H2020CA27","California 27","0627","California","CA","27","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"56",37376,"H2020CA28","California 28","0628","California","CA","28","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"57",37377,"H2020CA29","California 29","0629","California","CA","29","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"58",37378,"H2020CA30","California 30","0630","California","CA","30","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"59",37380,"H2020CA32","California 32","0632","California","CA","32","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"60",37381,"H2020CA33","California 33","0633","California","CA","33","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"61",37383,"H2020CA35","California 35","0635","California","CA","35","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"62",37384,"H2020CA36","California 36","0636","California","CA","36","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"63",37386,"H2020CA38","California 38","0638","California","CA","38","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"64",37387,"H2020CA39","California 39","0639","California","CA","39","HOUSE","TOSS-UP",FALSE,NA,FALSE,NA,FALSE,NA,""
"65",37388,"H2020CA40","California 40","0640","California","CA","40","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"66",37389,"H2020CA41","California 41","0641","California","CA","41","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"67",37390,"H2020CA42","California 42","0642","California","CA","42","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"68",37392,"H2020CA44","California 44","0644","California","CA","44","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"69",37385,"H2020CA37","California 37","0637","California","CA","37","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"70",37382,"H2020CA34","California 34","0634","California","CA","34","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"71",37397,"H2020CA49","California 49","0649","California","CA","49","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"72",37402,"H2020CO01","Colorado 1","0801","Colorado","CO","01","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"73",37403,"H2020CO02","Colorado 2","0802","Colorado","CO","02","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"74",37399,"H2020CA51","California 51","0651","California","CA","51","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"75",37405,"H2020CO04","Colorado 4","0804","Colorado","CO","04","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"76",37401,"H2020CA53","California 53","0653","California","CA","53","HOUSE","SAFE-D",TRUE,NA,TRUE,NA,FALSE,NA,""
"77",37409,"H2020CT01","Connecticut 1","0901","Connecticut","CT","01","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"78",37410,"H2020CT02","Connecticut 2","0902","Connecticut","CT","02","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"79",37414,"H2020DE00","Delaware At-Large","1000","Delaware","DE","00","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"80",37415,"H2020FL01","Florida 1","1201","Florida","FL","01","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"81",37416,"H2020FL02","Florida 2","1202","Florida","FL","02","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"82",37417,"H2020FL03","Florida 3","1203","Florida","FL","03","HOUSE","SAFE-R",TRUE,NA,FALSE,NA,FALSE,NA,""
"83",37429,"H2020FL15","Florida 15","1215","Florida","FL","15","HOUSE","LEAN-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"84",37420,"H2020FL06","Florida 6","1206","Florida","FL","06","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"85",37418,"H2020FL04","Florida 4","1204","Florida","FL","04","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"86",37422,"H2020FL08","Florida 8","1208","Florida","FL","08","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"87",37424,"H2020FL10","Florida 10","1210","Florida","FL","10","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"88",37425,"H2020FL11","Florida 11","1211","Florida","FL","11","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"89",37491,"H2020KS01","Kansas 1","2001","Kansas","KS","01","HOUSE","SAFE-R",TRUE,NA,FALSE,NA,FALSE,NA,""
"90",37427,"H2020FL13","Florida 13","1213","Florida","FL","13","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"91",37318,"S2020VA02","Virginia","51","Virginia","VA","","SENATE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"92",37432,"H2020FL18","Florida 18","1218","Florida","FL","18","HOUSE","LEAN-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"93",37434,"H2020FL20","Florida 20","1220","Florida","FL","20","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"94",37435,"H2020FL21","Florida 21","1221","Florida","FL","21","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"95",37438,"H2020FL24","Florida 24","1224","Florida","FL","24","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"96",37439,"H2020FL25","Florida 25","1225","Florida","FL","25","HOUSE","SAFE-R",FALSE,NA,TRUE,NA,FALSE,NA,""
"97",37428,"H2020FL14","Florida 14","1214","Florida","FL","14","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"98",37440,"H2020FL26","Florida 26","1226","Florida","FL","26","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"99",37441,"H2020FL27","Florida 27","1227","Florida","FL","27","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"100",37442,"H2020GA01","Georgia 1","1301","Georgia","GA","01","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"101",37446,"H2020GA05","Georgia 5","1305","Georgia","GA","05","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"102",37483,"H2020IN02","Indiana 2","1802","Indiana","IN","02","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"103",37451,"H2020GA10","Georgia 10","1310","Georgia","GA","10","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"104",37452,"H2020GA11","Georgia 11","1311","Georgia","GA","11","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"105",37454,"H2020GA13","Georgia 13","1313","Georgia","GA","13","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"106",37450,"H2020GA09","Georgia 9","1309","Georgia","GA","09","HOUSE","SAFE-R",TRUE,NA,FALSE,NA,FALSE,NA,""
"107",37455,"H2020GA14","Georgia 14","1314","Georgia","GA","14","HOUSE","SAFE-R",TRUE,NA,FALSE,NA,FALSE,NA,""
"108",37456,"H2020HI01","Hawaii 1","1501","Hawaii","HI","01","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"109",37462,"H2020ID01","Idaho 1","1601","Idaho","ID","01","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"110",37447,"H2020GA06","Georgia 6","1306","Georgia","GA","06","HOUSE","LEAN-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"111",37449,"H2020GA08","Georgia 8","1308","Georgia","GA","08","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"112",37464,"H2020IL01","Illinois 1","1701","Illinois","IL","01","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"113",37457,"H2020HI02","Hawaii 2","1502","Hawaii","HI","02","HOUSE","SAFE-D",TRUE,NA,FALSE,NA,FALSE,NA,""
"114",37465,"H2020IL02","Illinois 2","1702","Illinois","IL","02","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"115",37468,"H2020IL05","Illinois 5","1705","Illinois","IL","05","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"116",37471,"H2020IL08","Illinois 8","1708","Illinois","IL","08","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"117",37476,"H2020IL13","Illinois 13","1713","Illinois","IL","13","HOUSE","TOSS-UP",FALSE,NA,FALSE,NA,FALSE,NA,""
"118",37480,"H2020IL17","Illinois 17","1717","Illinois","IL","17","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"119",37481,"H2020IL18","Illinois 18","1718","Illinois","IL","18","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"120",37488,"H2020IN07","Indiana 7","1807","Indiana","IN","07","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"121",37492,"H2020KS02","Kansas 2","2002","Kansas","KS","02","HOUSE","LIKELY-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"122",37484,"H2020IN03","Indiana 3","1803","Indiana","IN","03","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"123",37478,"H2020IL15","Illinois 15","1715","Illinois","IL","15","HOUSE","SAFE-R",TRUE,NA,FALSE,NA,FALSE,NA,""
"124",37493,"H2020KS03","Kansas 3","2003","Kansas","KS","03","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"125",37494,"H2020KS04","Kansas 4","2004","Kansas","KS","04","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"126",37474,"H2020IL11","Illinois 11","1711","Illinois","IL","11","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"127",37479,"H2020IL16","Illinois 16","1716","Illinois","IL","16","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"128",37495,"H2020KY01","Kentucky 1","2101","Kentucky","KY","01","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"129",37499,"H2020KY05","Kentucky 5","2105","Kentucky","KY","05","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"130",37485,"H2020IN04","Indiana 4","1804","Indiana","IN","04","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"131",37500,"H2020KY06","Kentucky 6","2106","Kentucky","KY","06","HOUSE","LIKELY-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"132",37437,"H2020FL23","Florida 23","1223","Florida","FL","23","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"133",37490,"H2020IN09","Indiana 9","1809","Indiana","IN","09","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"134",37502,"H2020LA02","Louisiana 2","2202","Louisiana","LA","02","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"135",37506,"H2020LA06","Louisiana 6","2206","Louisiana","LA","06","HOUSE","SAFE-R",FALSE,NA,TRUE,NA,FALSE,NA,""
"136",37509,"H2020MA03","Massachusetts 3","2503","Massachusetts","MA","03","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"137",37497,"H2020KY03","Kentucky 3","2103","Kentucky","KY","03","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"138",37510,"H2020MA04","Massachusetts 4","2504","Massachusetts","MA","04","HOUSE","SAFE-D",TRUE,NA,FALSE,NA,FALSE,NA,""
"139",37511,"H2020MA05","Massachusetts 5","2505","Massachusetts","MA","05","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"140",37528,"H2020MI03","Michigan 3","2603","Michigan","MI","03","HOUSE","TOSS-UP",TRUE,NA,FALSE,NA,FALSE,NA,""
"141",37512,"H2020MA06","Massachusetts 6","2506","Massachusetts","MA","06","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"142",37507,"H2020MA01","Massachusetts 1","2501","Massachusetts","MA","01","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"143",37514,"H2020MA08","Massachusetts 8","2508","Massachusetts","MA","08","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"144",37515,"H2020MA09","Massachusetts 9","2509","Massachusetts","MA","09","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"145",37516,"H2020MD01","Maryland 1","2401","Maryland","MD","01","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"146",37517,"H2020MD02","Maryland 2","2402","Maryland","MD","02","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"147",37518,"H2020MD03","Maryland 3","2403","Maryland","MD","03","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"148",37519,"H2020MD04","Maryland 4","2404","Maryland","MD","04","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"149",37520,"H2020MD05","Maryland 5","2405","Maryland","MD","05","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"150",37526,"H2020MI01","Michigan 1","2601","Michigan","MI","01","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"151",37527,"H2020MI02","Michigan 2","2602","Michigan","MI","02","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"152",37530,"H2020MI05","Michigan 5","2605","Michigan","MI","05","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"153",37531,"H2020MI06","Michigan 6","2606","Michigan","MI","06","HOUSE","LEAN-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"154",37532,"H2020MI07","Michigan 7","2607","Michigan","MI","07","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"155",37534,"H2020MI09","Michigan 9","2609","Michigan","MI","09","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"156",37538,"H2020MI13","Michigan 13","2613","Michigan","MI","13","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"157",37539,"H2020MI14","Michigan 14","2614","Michigan","MI","14","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"158",37541,"H2020MN02","Minnesota 2","2702","Minnesota","MN","02","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"159",37549,"H2020MO02","Missouri 2","2902","Missouri","MO","02","HOUSE","LEAN-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"160",37550,"H2020MO03","Missouri 3","2903","Missouri","MO","03","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"161",37553,"H2020MO06","Missouri 6","2906","Missouri","MO","06","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"162",37557,"H2020MS02","Mississippi 2","2802","Mississippi","MS","02","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"163",37558,"H2020MS03","Mississippi 3","2803","Mississippi","MS","03","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"164",37561,"H2020NC01","North Carolina 1","3701","North Carolina","NC","01","HOUSE","LEAN-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"165",37563,"H2020NC03","North Carolina 3","3703","North Carolina","NC","03","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"166",37564,"H2020NC04","North Carolina 4","3704","North Carolina","NC","04","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"167",37565,"H2020NC05","North Carolina 5","3705","North Carolina","NC","05","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"168",37566,"H2020NC06","North Carolina 6","3706","North Carolina","NC","06","HOUSE","SAFE-D",TRUE,NA,FALSE,NA,FALSE,NA,""
"169",37567,"H2020NC07","North Carolina 7","3707","North Carolina","NC","07","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"170",37568,"H2020NC08","North Carolina 8","3708","North Carolina","NC","08","HOUSE","LEAN-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"171",37551,"H2020MO04","Missouri 4","2904","Missouri","MO","04","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"172",37546,"H2020MN07","Minnesota 7","2707","Minnesota","MN","07","HOUSE","LEAN-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"173",37569,"H2020NC09","North Carolina 9","3709","North Carolina","NC","09","HOUSE","LIKELY-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"174",37683,"H2020TN07","Tennessee 7","4707","Tennessee","TN","07","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"175",37570,"H2020NC10","North Carolina 10","3710","North Carolina","NC","10","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"176",37572,"H2020NC12","North Carolina 12","3712","North Carolina","NC","12","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"177",37577,"H2020NE03","Nebraska 3","3103","Nebraska","NE","03","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"178",37585,"H2020NJ06","New Jersey 6","3406","New Jersey","NJ","06","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"179",37536,"H2020MI11","Michigan 11","2611","Michigan","MI","11","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"180",37586,"H2020NJ07","New Jersey 7","3407","New Jersey","NJ","07","HOUSE","LEAN-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"181",37545,"H2020MN06","Minnesota 6","2706","Minnesota","MN","06","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"182",37588,"H2020NJ09","New Jersey 9","3409","New Jersey","NJ","09","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"183",37590,"H2020NJ11","New Jersey 11","3411","New Jersey","NJ","11","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"184",37358,"H2020CA10","California 10","0610","California","CA","10","HOUSE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"185",37547,"H2020MN08","Minnesota 8","2708","Minnesota","MN","08","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"186",37593,"H2020NM02","New Mexico 2","3502","New Mexico","NM","02","HOUSE","TOSS-UP",FALSE,NA,FALSE,NA,FALSE,NA,""
"187",37603,"H2020NY05","New York 5","3605","New York","NY","05","HOUSE","SAFE-D",FALSE,NA,TRUE,NA,FALSE,NA,""
"188",37604,"H2020NY06","New York 6","3606","New York","NY","06","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"189",37608,"H2020NY10","New York 10","3610","New York","NY","10","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"190",37609,"H2020NY11","New York 11","3611","New York","NY","11","HOUSE","LEAN-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"191",37583,"H2020NJ04","New Jersey 4","3404","New Jersey","NJ","04","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
